Attaching to nomad_oasis_proxy, nomad_oasis_north, nomad_oasis_app, nomad_oasis_worker, nomad_oasis_rabbitmq, nomad_oasis_mongo, nomad_oasis_elastic
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:42,432Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "version[7.17.1], pid[7], build[default/docker/e5acb99f822233d62d6444ce45a4543dc1c8059a/2022-02-23T22:20:54.153567231Z], OS[Linux/5.15.0-52-generic/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/17.0.2/17.0.2+8]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:42,436Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "JVM home [/usr/share/elasticsearch/jdk], using bundled JDK [true]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:42,437Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "JVM arguments [-Xshare:auto, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -XX:+ShowCodeDetailsInExceptionMessages, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=SPI,COMPAT, --add-opens=java.base/java.io=ALL-UNNAMED, -XX:+UseG1GC, -Djava.io.tmpdir=/tmp/elasticsearch-3583678561646363375, -XX:+HeapDumpOnOutOfMemoryError, -XX:+ExitOnOutOfMemoryError, -XX:HeapDumpPath=data, -XX:ErrorFile=logs/hs_err_pid%p.log, -Xlog:gc*,gc+age=trace,safepoint:file=logs/gc.log:utctime,pid,tags:filecount=32,filesize=64m, -Des.cgroups.hierarchy.override=/, -Xms512m, -Xmx512m, -XX:MaxDirectMemorySize=268435456, -XX:G1HeapRegionSize=4m, -XX:InitiatingHeapOccupancyPercent=30, -XX:G1ReservePercent=15, -Des.path.home=/usr/share/elasticsearch, -Des.path.conf=/usr/share/elasticsearch/config, -Des.distribution.flavor=default, -Des.distribution.type=docker, -Des.bundled_jdk=true]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,371Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [aggs-matrix-stats]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,371Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [analysis-common]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,371Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [constant-keyword]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,372Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [frozen-indices]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,372Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [ingest-common]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,372Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [ingest-geoip]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,372Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [ingest-user-agent]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,372Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [kibana]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,372Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [lang-expression]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,373Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [lang-mustache]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,373Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [lang-painless]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,373Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [legacy-geo]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,373Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [mapper-extras]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,373Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [mapper-version]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,373Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [parent-join]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,374Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [percolator]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,374Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [rank-eval]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,374Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [reindex]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,374Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [repositories-metering-api]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,374Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [repository-encrypted]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,374Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [repository-url]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,374Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [runtime-fields-common]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,375Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [search-business-rules]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,375Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [searchable-snapshots]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,375Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [snapshot-repo-test-kit]" }
